Title,Season,Genres,Language,Release Date,Content Type
Stay Close,ALL,Thriller,English,2021-12-31,TV
Archive 81,ALL,Horror,English,2022-01-14,TV
In From the Cold,ALL,Thriller,English,2022-01-28,TV
Inventing Anna,ALL,Drama,English,2022-02-11,TV
Vikings: Valhalla,ALL,"History,Drama",English,2022-02-25,TV
Pieces of Her,ALL,Thriller,English,2022-03-04,TV
Anatomy of a Scandal,ALL,Drama,English,2022-04-15,TV
Blood Sisters,ALL,Thriller,English,2022-05-05,TV
First Kill,ALL,"Horror,Drama",English,2022-06-10,TV
Resident Evil,ALL,"Horror,Science Fiction",English,2022-07-14,TV
Country Queen,ALL,Drama,English,2022-07-15,TV
Keep Breathing,ALL,"Action,Drama",English,2022-07-28,TV
Justice Served,ALL,Drama,English,2022-07-29,TV
Echoes,ALL,"Thriller,Mystery",English,2022-08-19,TV
Lost Ollie,ALL,Drama,English,2022-08-24,TV
Partner Track,ALL,Drama,English,2022-08-26,TV
Devil in Ohio,ALL,Thriller,English,2022-09-02,TV
The Imperfects,ALL,Science Fiction,English,2022-09-08,TV
Dahmer – Monster: The Jeffrey Dahmer Story,ALL,"Drama,Crime",English,2022-09-21,TV
The Midnight Club,ALL,"Horror,Drama,Teen",English,2022-10-07,TV
From Scratch,ALL,Drama,English,2022-10-21,TV
Guillermo del Toro's Cabinet of Curiosities,ALL,"Anthology,Horror",English,2022-10-25,TV
Half Bad: The Bastard Son & The Devil Himself,ALL,"Fantasy,Drama",English,2022-10-28,TV
1899,ALL,"History,Horror,Mystery",English,2022-11-17,TV
Far from Home,ALL,"Drama,Teen",English,2022-12-16,TV
The Witcher: Blood Origin,ALL,"Fantasy,Drama",English,2022-12-25,TV
Treason,ALL,"Action,Drama",English,2022-12-26,TV
Kaleidoscope,ALL,"Drama,Crime",English,2023-01-01,TV
Shanty Town,ALL,"Drama,Crime",English,2023-01-20,TV
Lockwood & Co.,ALL,"Fantasy,Thriller,Mystery",English,2023-01-27,TV
Unseen,ALL,"Thriller,Crime",English,2023-03-29,TV
Transatlantic,ALL,"History,Drama",English,2023-04-07,TV
Florida Man,ALL,"Drama,Crime",English,2023-04-13,TV
Obsession,ALL,Thriller,English,2023-04-13,TV
Queen Charlotte: A Bridgerton Story,ALL,"History,Drama",English,2023-05-04,TV
Glamorous,ALL,Drama,English,2023-06-22,TV
Fatal Seduction,ALL,Thriller,English,2023-07-07,TV
Painkiller,ALL,"Drama,Crime",English,2023-08-10,TV
